Адрес,Широта,Долгота,Описание ,
"Ангелово  МФЖК Ангелово-Резиденц тер, д. 40",55.857574,37.324488,"Формат: Жук
Адрес: Ангелово  МФЖК Ангелово-Резиденц тер, д. 40
ТТ: 8012
Телефон ТТ: 9299970524, 79366224718
Эл. почта: retail.3.29@vkusvill.ru, retail.3.29@vkusvill.ru
Код ТТ: 8012Ж_Ангел_Ангелово-Резиденц40пом36",
"Андреевка . рп. Андреевка ул Алабушевская, дом № 4Б",55.9907977,37.1412183,"Формат: Даркстор
Адрес: Андреевка . рп. Андреевка ул Алабушевская, дом № 4Б
ТТ: 4824
Телефон ТТ: 9253243947, 79647704828
Эл. почта: retail.3.34@vkusvill.ru, retail.3.34@vkusvill.ru
Код ТТ: 4824ДС_Андр_Алабушевская4",
"Апрелевка , ул. Дубки, стр. 1",55.5452506,37.0847707,"Формат: Даркстор
Адрес: Апрелевка , ул. Дубки, стр. 1
ТТ: 8168
Телефон ТТ: 9361029551, 79266892969
Эл. почта: retail.1.23@vkusvill.ru, retail.1.23@vkusvill.ru
Код ТТ: 8168ДС_Апр_Дубки1",
"Апрелевка ул. Августовская, д. 14",55.549816,37.068441,"Формат: ВкусВилл
Адрес: Апрелевка ул. Августовская, д. 14
ТТ: 1780
Телефон ТТ: 9296873857, 79296106533
Эл. почта: retail.1.29@vkusvill.ru, retail.1.29@vkusvill.ru
Код ТТ: 1780М_Апр_Августовская14",
"Апрелевка ул. ЖК Весна, д. 1",,,Not Found,"Формат: ВкусВилл
Адрес: Апрелевка ул. Августовская, д. 14
ТТ: 1780
Телефон ТТ: 9296873857, 79296106533
Эл. почта: retail.1.29@vkusvill.ru, retail.1.29@vkusvill.ru
Код ТТ: 1780М_Апр_Августовская14"
"Апрелевка Цветочная Аллея, д. 15",55.5410832,37.0790066,"Формат: ВкусВилл
Адрес: Апрелевка Цветочная Аллея, д. 15
ТТ: 2878
Телефон ТТ: 9261890983, 79296106533
Эл. почта: retail.1.29@vkusvill.ru, retail.1.29@vkusvill.ru
Код ТТ: 2878М_Апр_ЦветочнаяАллея15",
"Аристово ул. Пятницкая, д. 3",55.893566,37.290157,"Формат: Жук
Адрес: Аристово ул. Пятницкая, д. 3
ТТ: 7377
Телефон ТТ: 9266556513, 79366224718
Эл. почта: retail.3.29@vkusvill.ru, retail.3.29@vkusvill.ru
Код ТТ: 7377Ж_Арис_Пятницкая3",
Архангельское стр. 6,59.2429477,39.8994442,"Формат: Шмель
Адрес: Архангельское стр. 6
ТТ: 8359
Телефон ТТ: 9263758965, 79257214631
Эл. почта: retail.1.33@vkusvill.ru, retail.1.33@vkusvill.ru
Код ТТ: 8359Ш_Архангельское_6",
"Балашиха  и самовывоза. ш. Носовихинское, вл. 4 стр. 16",,,Not Found,"Формат: Жук
Адрес: Аристово ул. Пятницкая, д. 3
ТТ: 7377
Телефон ТТ: 9266556513, 79366224718
Эл. почта: retail.3.29@vkusvill.ru, retail.3.29@vkusvill.ru
Код ТТ: 7377Ж_Арис_Пятницкая3"
"Балашиха  Павлино, д. 18, к. 1",55.726827,37.967349,"Формат: Шмель
Адрес: Балашиха  Павлино, д. 18, к. 1
ТТ: 2637
Телефон ТТ: 9167511592, 79257861379
Эл. почта: retail.2.10@vkusvill.ru, retail.2.10@vkusvill.ru
Код ТТ: 2637Ш_Бал_микрорайонПавлино18",
"Балашиха , ул. Южная, д. 13",55.744911,37.9108,"Формат: Даркстор
Адрес: Балашиха , ул. Южная, д. 13
ТТ: 8202
Телефон ТТ: 9251827303, 79257197275
Эл. почта: retail.2.33@vkusvill.ru, retail.2.33@vkusvill.ru
Код ТТ: 8202ДС_Бал_Южная13",
